CURSO;COMPONENTE CURRICULAR ;ETAPA;Jan;DIA;Horário;Verificação;PROFESSOR;Fev;DIA;Horário;Verificação;Mar;DIA;Horário;Verificação;Abr;DIA;Horário;Verificação;Mai;DIA;Horário;Verificação;Jun;DIA;Horário;Verificação;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;                   INÍCIO DAS AULAS;ETAPA;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Recepção aos Calouros ;TODAS AS ETAPAS;;;;;;Fev;11 - Recepção;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Acolhimento aos Calouros - CCSA;TODAS AS ETAPAS;;;;;;Fev;23 - ACOLHIMENTO AOS CALOUROS;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Aula Magna;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Integra Mack;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Encontro Integrador 1 - c/a Coordenação;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;2 - ENCONTRO COORD;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Encontro Integrador 2 - palestra a definir;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;9 - PALESTRA;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Encontro Integrador 3 - palestra a definir;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;23 - PALESTRA;;? OK;Abr;;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;Encontro Integrador 4 - palestra a definir;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;27 - PALESTRA;;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 1;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;6- Avalliação;INTERMEDIÁRIAS 1;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 1;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;7- Avalliação;INTERMEDIÁRIAS 1;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 1;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;8- Avalliação;INTERMEDIÁRIAS 1;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 1;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;9- Avalliação;INTERMEDIÁRIAS 1;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 1;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;10- Avalliação;INTERMEDIÁRIAS 1;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 1;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;11- Avalliação;INTERMEDIÁRIAS 1;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 1;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;12- Avalliação;INTERMEDIÁRIAS 1;? OK;Mai;;;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;PROVA INTEGRADA;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;14 - Integrada;PROVA INTEGRADA;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
TODOS OS CURSOS;AVALIAÇÕES INTERMEDIÁRIAS 2;TODAS AS ETAPAS;;;;;;Fev;;;? OK;Mar;;;? OK;Abr;;;? OK;Mai;29- Avaliação;INTERMEDIÁRIAS 2;? OK;Jun;;;? OK;;;;;;;;;;;;;;;;;;;;;
